source,race_id,detail_url,crawled_at,last_checked,name,date_raw,event_date,time_raw,start_time,region,sido,venue,road_address,events_raw,distances,event_types,has_full,has_half,has_10k,has_5k,category,organizer,reg_start,reg_end,reg_status,official_url,description,image_url,contact_email,contact_phone,latitude,longitude
마라톤GO,1st-modurun-2026-06-13,https://marathongo.co.kr/raceDetail/domestic/1st-modurun-2026-06-13,2026-06-14T20:38:13,2026-06-14,제1회 모두런,2026-06-13 08:00 집결,2026-06-13,2026-06-13 08:00 집결,08:00,세종,세종특별자치시,"세종중앙공원, 국립세종수목원",,5km,[5.0],"[""5km""]",False,False,False,True,로드,세종시장애인단체연합회,2026-05-14,2026-05-20,마감,http://www.sfinder.co.kr,-,https://marathongo.co.kr/assets/image/race/domestic/1st-modurun-2026-06-13.webp,,,36.49116211599174,127.27139760578042
마라톤GO,2026-mediterranean-village-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-mediterranean-village-marathon,2026-06-14T20:38:15,2026-06-14,2026 지중해마을 마라톤,2026-06-13 20:00 집결,2026-06-13,2026-06-13 20:00 집결,20:00,충남,충청남도,아산시 지중해 마을 광장,,5km,[5.0],"[""5km""]",False,False,False,True,로드,주식회사 오소컴퍼니,2026-05-01,2026-06-05,마감,http://bluecrystalmarathon.imweb.me,"ARE YOU READY?
아름다운 야경과 함께 달리는 '지중해 마을 마라톤'의 참가 접수 일정을 안내합니다.

✅ RACE INFO

일시: 2026. 6. 13

종목: 5KM

장소: 충남 아산시 지중해 마을 광장

참가접수: 2026. 5. 1 OPEN

참가 신청 및 상세 정보는 공식 홈페이지를 확인해 주시기 바랍니다.
빛나는 밤, 여러분의 뜨거운 도전을 기다립니다.

See you on the trail!

책임자 : 김덕기",https://marathongo.co.kr/assets/image/race/domestic/2026-mediterranean-village-marathon.webp,,,36.7941932170164,127.054766892081
마라톤GO,2026-run-mediterranean-night-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-run-mediterranean-night-marathon,2026-06-14T20:38:17,2026-06-14,2026 런 지중해의 밤 마라톤,2026-06-13 20:00 집결,2026-06-13,2026-06-13 20:00 집결,20:00,충남,충청남도,아산시 지중해 마을 광장,,"10km,5km,1.2KM","[10.0, 5.0, 1.2]","[""10km"", ""5km"", ""1.2km""]",False,False,True,True,로드,주식회사 오소컴퍼니,2026-05-01,2026-06-05,마감,https://bluecrystalmarathon.imweb.me,"ARE YOU READY?
아름다운 야경과 함께 달리는 '런 지중해의 밤 마라톤'의 참가 접수 일정을 안내합니다.

✅ RACE INFO

일시: 2026. 6. 13

종목: 1.2k

장소: 충남 아산시 지중해 마을 광장

참가접수: 2026. 5. 1 OPEN

참가 신청 및 상세 정보는 공식 홈페이지를 확인해 주시기 바랍니다.
빛나는 밤, 여러분의 뜨거운 도전을 기다립니다.

See you on the trail!",https://marathongo.co.kr/assets/image/race/domestic/2026-run-mediterranean-night-marathon.webp,,,36.7941932170164,127.054766892081
마라톤GO,2026-culturerun-incheon-discount,https://marathongo.co.kr/raceDetail/domestic/2026-culturerun-incheon-discount,2026-06-14T20:38:20,2026-06-14,2026 컬처런,2026-06-13 오전 9시 00분 집결,2026-06-13,2026-06-13 오전 9시 00분 집결,09:00,인천,인천광역시,영종도 씨사이드파크 일원,,"하프,10km,커플런,가족런","[21.0975, 10.0]","[""하프"", ""10km""]",False,True,True,False,로드,"기호일보, 로드스포",2026-03-26,2026-03-26,마감,http://culturerun.net/index.php,"인천 중구 시민 5,000원 할인
커플런, 가족런 등 할인 종목 중복할인불가",https://marathongo.co.kr/assets/image/race/domestic/2026-culturerun-incheon-discount.webp,,,37.4742604069866,126.526196355881
마라톤GO,2026-just-run10-daejeon-official-race,https://marathongo.co.kr/raceDetail/domestic/2026-just-run10-daejeon-official-race,2026-06-14T20:38:22,2026-06-14,2026 JUST RUN10 대전 대회,2026-06-13 09:00 집결,2026-06-13,2026-06-13 09:00 집결,09:00,대전,대전광역시,대전 엑스포 시민광장,,"10km,5km","[10.0, 5.0]","[""10km"", ""5km""]",False,False,True,True,로드,"(주)러닝브레이커,전국러닝협회",2026-04-01,2026-04-30,마감,http://runten.co.kr,"PB 달성이 가장 쉬운 확실한 공식대회

- 병목없는 레이스, 티어별 스타트

- 업힐 없는 국내 최고의 평지 코스

- 강변을 따라 달리는 힐링 코스

- 차량통제 필요없는 안전한 코스

- 10K, 5K 모두 기록칩 완벽 지원

- 100명 이상의 경품, 최고 수준의 상금",https://marathongo.co.kr/assets/image/race/domestic/2026-just-run10-daejeon-official-race.webp,,,36.368065219673205,127.38808571649619
마라톤GO,2026-gangneung-heonhwaro-11k-run,https://marathongo.co.kr/raceDetail/domestic/2026-gangneung-heonhwaro-11k-run,2026-06-14T20:38:25,2026-06-14,2026 강릉옥계헌화로11K Run,2026-06-13 08 : 00 집결,2026-06-13,2026-06-13 08 : 00 집결,08:00,강원,강원특별자치도,강릉 옥계면 금진솔밭길,,11km,[11.0],"[""11km""]",False,False,False,False,로드,(주)강원도민일보,2026-03-03,2026-04-08,마감,http://www.강릉헌화로11k.com,바다와 가장 가까운 해안도로를 달리며 특별한 추억을 만들어 보세요~,https://marathongo.co.kr/assets/image/race/domestic/2026-gangneung-heonhwaro-11k-run.webp,,,37.6284000358644,129.049523933212
마라톤GO,2026-seongnam-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-seongnam-marathon,2026-06-14T20:38:27,2026-06-14,2026 성남마라톤,2026-06-13 08:00 집결,2026-06-13,2026-06-13 08:00 집결,08:00,경기,경기도,성남 탄천종합운동장,,"하프,10km,5km","[21.0975, 10.0, 5.0]","[""하프"", ""10km"", ""5km""]",False,True,True,True,로드,(사)대한트레일런협회,2026-02-02,2026-04-30,마감,http://ktra.kr,선거로 인하여 마라톤 일정이 변경되었습니다. 자세한 사항은 홈페이지를 참고해주세요.,https://marathongo.co.kr/assets/image/race/domestic/2026-seongnam-marathon.webp,,,37.4101849257468,127.121331148072
마라톤GO,12th-vision-impaired-inclusive-marathon-2026-06-13,https://marathongo.co.kr/raceDetail/domestic/12th-vision-impaired-inclusive-marathon-2026-06-13,2026-06-14T20:38:30,2026-06-14,제12회 시각장애인과 함께하는 어울림 마라톤,2026-06-13 08:00 집결,2026-06-13,2026-06-13 08:00 집결,08:00,서울,서울특별시,상암월드컵경기장 평화광장,,"하프,10km,5km","[21.0975, 10.0, 5.0]","[""하프"", ""10km"", ""5km""]",False,True,True,True,로드,서울시각장애인스포츠연맹,2026-02-16,2026-04-30,마감,http://www.sbsa.or.kr,"장애인과 비장애인이 함께하는 '제12회 시각장애인과 함께하는 어울림 마라톤 대회'에 여러분을 초대합니다.
푸른 여름의 시작과 함께 모두 하나 되어 즐길 수 있는 마라톤 축제를 준비했습니다.

도심 속 자연을 가슴에 담고 호흡하는 코스에서 건강을 다지는
힐링 마라톤 축제의 주인공이 되어 보세요.

○대회명: 제12회 시각장애인과 함께하는 어울림 마라톤 대회
○대회일: 2025년 06월 13일 (토) 08시
○장소: 상암월드컵경기장 평화의공원
○기념품: 완주메달, 데상트티셔츠, 포카리스웨트, 본도시락 컵밥 등",https://marathongo.co.kr/assets/image/race/domestic/12th-vision-impaired-inclusive-marathon-2026-06-13.webp,,,37.5650560057921,126.896211243867
마라톤GO,2026-10th-pohang-steel-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-10th-pohang-steel-marathon,2026-06-14T20:38:33,2026-06-14,2026 제10회 포항철강마라톤,2026-06-13 09:00 집결,2026-06-13,2026-06-13 09:00 집결,09:00,경북,경상북도,포항 영일대 해상누각 앞,,"10km,5km,5km 학생","[10.0, 5.0]","[""10km"", ""5km""]",False,False,True,True,로드,경북매일신문,2026-01-19,2026-04-30,마감,http://phsteelrun.com,"2026년 6월 13일, 가장 아름다운 해변 영일대에서 펼쳐지는 
2026 제10회 포항철강마라톤!

많은 참여부탁 드립니다.",https://marathongo.co.kr/assets/image/race/domestic/2026-10th-pohang-steel-marathon.webp,,,36.0615645090088,129.383051999155
마라톤GO,22nd-incheon-mayor-10km-health-run-2026,https://marathongo.co.kr/raceDetail/domestic/22nd-incheon-mayor-10km-health-run-2026,2026-06-14T20:38:40,2026-06-14,제22회 인천광역시장기 건강달리기,2026-06-14 08:00 집결,2026-06-14,2026-06-14 08:00 집결,08:00,인천,인천광역시,인천대공원 문화마당,,10km,[10.0],"[""10km""]",False,False,True,False,로드,인천광역시육상연맹,2026-04-29,2026-05-31,마감,http://healthyrun.co.kr/,"10km 단일종목!
인천광역시장기 건강달리기대회",https://marathongo.co.kr/assets/image/race/domestic/22nd-incheon-mayor-10km-health-run-2026.webp,,,37.4599390645984,126.755350614533
마라톤GO,21st-gwangjin-track-championship-2026,https://marathongo.co.kr/raceDetail/domestic/21st-gwangjin-track-championship-2026,2026-06-14T20:38:43,2026-06-14,제21회 광진구연맹회장배 육상대회,2026-06-14 08:30 집결,2026-06-14,2026-06-14 08:30 집결,08:30,서울,서울특별시,중곡동 중랑천 물놀이장 옆,,"10km,5km","[10.0, 5.0]","[""10km"", ""5km""]",False,False,True,True,로드,광진구체육회(광진구육상연맹),2026-04-06,2026-05-29,마감,http://ksgaaf.co.kr/,안녕하세요!! 광진구육상연맹입니다!!,https://marathongo.co.kr/assets/image/race/domestic/21st-gwangjin-track-championship-2026.webp,,,37.5665624923561,127.07664106018073
마라톤GO,2026-gimhae-forest-trail-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-gimhae-forest-trail-marathon,2026-06-14T20:38:46,2026-06-14,2026 김해숲길마라톤,2026-06-14 08:30 집결,2026-06-14,2026-06-14 08:30 집결,08:30,경남,경상남도,김해종합운동장 및 숲길 일원,,"하프,10km,5km","[21.0975, 10.0, 5.0]","[""하프"", ""10km"", ""5km""]",False,True,True,True,로드,김해시육상연맹,2026-03-18,2026-05-20,마감,http://www.supgil.com,"아름다운 도시, 역사의 도시 김해의 아름다운 숲길을 달리는 2026 김해숲길마라톤대회는 하프코스부문, 10km코스부문 그리고 5km코스부문이 있습니다.

자연 속을 달리며 힐링하는 김해숲길마라톤대회로 달림이 여러분을 초대합니다.",https://marathongo.co.kr/assets/image/race/domestic/2026-gimhae-forest-trail-marathon.webp,,,35.25765996521216,128.87529350576827
마라톤GO,jeonmahyeop-25th-anniversary-2026-daejeon-world-run,https://marathongo.co.kr/raceDetail/domestic/jeonmahyeop-25th-anniversary-2026-daejeon-world-run,2026-06-14T20:38:48,2026-06-14,전마협창단25주년 2026 대전월드런마라톤축제,2026-06-14 오전 7시 30분 집결,2026-06-14,2026-06-14 오전 7시 30분 집결,07:30,대전,대전광역시,대전엑스포시민광장,,"하프,10km,5km","[21.0975, 10.0, 5.0]","[""하프"", ""10km"", ""5km""]",False,True,True,True,로드,"전국마라톤협회, 월드런",2026-03-17,2026-05-31,마감,http://mara1080.com/event/cc73d8d1-a3d1-410c-9246-5d2eb76dd95e,-,https://marathongo.co.kr/assets/image/race/domestic/jeonmahyeop-25th-anniversary-2026-daejeon-world-run.webp,,,36.368065219673205,127.38808571649619
마라톤GO,2026-21st-ulleungdo-national-marathon,https://marathongo.co.kr/raceDetail/domestic/2026-21st-ulleungdo-national-marathon,2026-06-14T20:38:51,2026-06-14,2026 제21회 울릉도전국마라톤,2026-06-14 05:00 집결,2026-06-14,2026-06-14 05:00 집결,05:00,경북,경상북도,사동항 여객터미널 주차장,,"풀,하프,10km,5km","[42.195, 21.0975, 10.0, 5.0]","[""풀"", ""하프"", ""10km"", ""5km""]",True,True,True,True,로드,세계일보,2026-03-03,2026-04-30,마감,http://ulmarathon.co.kr/,"제21회 울릉도전국마라톤대회가 6월 14일 개최됩니다.
선착순마감으로 진행될 예정이오니,
참가 원하시는 분들은 참가신청 하시기 바랍니다.
감사합니다.",https://marathongo.co.kr/assets/image/race/domestic/2026-21st-ulleungdo-national-marathon.webp,,,36.8258585102527,129.446635543164
